dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,Value
-0.036759056,0.01762523,-0.047949117,0.1980238,0.22837922,0.23156834,0.15604804,-0.025736285,0.023613015,-0.1943711,-0.041574344,0.0005601362,-0.090153374,-0.024081027,0.394571,-0.06298491,-0.38543344,-0.06264316,-0.1189058,-0.13452044,0.338568,0.0947151,-0.059978902,-0.26777336,0.008841176,0.039602347,-0.17259529,0.070678726,0.19875821,0.21358594,0.029682536,0.33399287,0.10882534086704254
0.028650315,-0.10638357,0.119244255,-0.08029387,-0.2994395,-0.12153274,-0.0014131608,0.01299323,-0.09194967,0.1813792,0.33945793,-0.02609414,0.31642666,-0.13448173,-0.37581638,0.13851324,0.279935,0.008466622,-0.07812111,0.0199876,-0.26465937,-0.18799631,0.1792753,0.07407373,0.053015776,-0.06911635,0.14081958,-0.039220415,-0.3297671,-0.0596183,-0.10042292,-0.21770743,0.35306185483932495
-0.008719603,0.20933357,-0.23780002,-0.061492577,-0.05549551,0.15053621,-0.02678946,-0.24945405,-0.013541681,0.009027159,0.048582915,-0.022722399,0.23852551,0.343136,-0.1391541,-0.28492832,-0.0003847068,0.36318827,0.1018219,0.28887817,0.061299004,-0.17252025,-0.13980755,0.1213593,0.007323823,0.097020656,0.23194407,-0.17568563,0.07112786,-0.14896876,0.31464475,-0.12189993,-0.6705599427223206
0.164373,0.1796183,0.027916547,0.35736835,0.088886954,0.045610253,0.2519942,0.12555444,-0.0028343115,0.22046037,-0.13335578,0.018601686,0.054864183,-0.1945469,0.053504225,-0.089330055,-0.14506115,0.11553783,-0.1298318,-0.2870547,0.06352762,0.10940036,0.37488344,-0.2855343,-0.016254216,0.19522785,0.06922635,-0.026240101,0.010281451,0.33784583,-0.17515482,-0.20984684,0.7493918538093567
-0.0035271584,-0.045715623,0.071095124,-0.013608715,0.2352268,-0.14504898,-0.10348905,0.19270864,0.106176116,-0.085490696,-0.42346275,0.04899433,-0.5065423,-0.073945515,0.26599675,0.097250804,-0.045393553,-0.24270003,0.113449246,-0.13654155,0.01762513,0.289945,-0.07586767,0.028080465,-0.07790447,-0.02313688,-0.220097,0.1291025,0.20020515,0.016148783,-0.13637358,0.1086997,-0.022294504567980766
0.029707316,-0.22176701,0.25631088,0.041587405,-0.1481795,-0.15089396,0.0662538,0.18813266,-0.06008209,0.1087121,0.22568627,-0.0040496,0.07100061,-0.36836144,-0.115250275,0.29593778,0.13342659,-0.25882468,-0.16948484,-0.23389919,-0.1790188,-0.0036582686,0.25097656,-0.10117948,0.039144907,-0.105993226,-0.08528328,0.10727833,-0.27344456,0.12296428,-0.30723718,-0.026087467,0.8249713182449341
-0.07732174,-0.25172243,0.16948852,0.056711093,0.06873103,0.04032517,0.073721565,0.10583076,-0.015146845,-0.18383019,0.15613398,-0.004668445,-0.10598663,-0.25679997,0.26145527,0.24217649,-0.17214578,-0.35086855,-0.17780279,-0.21017525,0.123648785,0.070177846,-0.010287678,-0.19658919,0.03776464,-0.13918027,-0.2800065,0.17921521,-0.033445753,0.15051417,-0.17418294,0.37441948,0.4704015552997589
0.044563465,-0.08523454,0.16046774,-0.08323998,0.06983289,-0.31277892,-0.15293565,0.26275128,0.07644457,0.083931714,-0.35672325,0.049212728,-0.4223776,-0.16402778,0.0024540643,0.19084427,0.20311478,-0.24646734,0.13091761,-0.13885541,-0.22171222,0.24015376,0.061661843,0.13475314,-0.07523843,-0.048352588,-0.12339285,0.10557232,0.015913635,-0.047207125,-0.24224432,-0.12606142,0.18420837819576263
0.04592006,0.22594804,-0.16032909,0.26970437,0.23030318,0.25071424,0.18884824,-0.07396587,0.03386931,-0.049573254,-0.17042892,0.006860472,-0.01032166,0.09758803,0.28509766,-0.25198776,-0.35837936,0.18890241,-0.051196177,-0.078186214,0.31877723,0.08068937,0.024996491,-0.24188384,-0.016603928,0.18060867,0.0065354616,-0.045133863,0.24616665,0.22117303,0.110613376,0.086097814,-0.013162456452846527
-0.082139626,-0.027422585,-0.10078099,-0.07675753,-0.19748482,0.2058067,0.046055984,-0.2588873,-0.09747017,-0.078915104,0.47112495,-0.05740469,0.45462132,0.15292315,-0.15550022,-0.080281846,-0.022879513,0.17177829,-0.09742554,0.21883373,0.07093849,-0.30792397,-0.11098835,0.0062987595,0.08868357,-0.04963159,0.13150132,-0.09410673,-0.13739711,-0.0927731,0.22565676,0.09888032,-0.27359744906425476
