dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,Value
0.2486745,-0.037137445,0.25910082,0.24645483,0.10410848,0.16239415,0.07109686,0.06605213,-0.0312585,0.25835603,-0.014464196,-0.13371807,-0.11058346,-0.115860075,0.46608534,-0.079459645,-0.027103899,0.16401388,-0.19546637,-0.14848477,0.0671319,-0.073008634,0.30351773,0.1904529,0.18207859,0.1207742,0.3236414,0.051170304,-0.02892097,0.14181988,-0.07786814,-0.13794191,0.3292928636074066
0.22950448,-0.2959355,-0.08034146,-0.061387997,0.029245548,-0.123542875,-0.037701555,-0.17320305,0.005707344,0.23092103,-0.3043409,0.013454749,0.097473636,-0.0758846,-0.10825472,-0.20121111,0.22246465,-0.10639648,-0.23243298,-0.1142662,-0.14337748,0.37244767,-0.06947186,0.101612136,-0.038184006,-0.41178587,-0.03445703,0.18312544,0.1990876,0.18538049,0.030458217,0.07325323,0.48786118626594543
0.099752136,0.04996374,0.07165993,0.08021408,0.05444669,0.11623652,0.14373235,-0.30432776,0.17623422,0.3358841,-0.1455483,0.08208751,0.012946002,-0.0042417594,0.09691905,-0.04640548,-0.15085186,0.060570553,0.16560298,0.395257,0.14460565,0.11743583,-0.08603616,-0.41665626,0.07966029,-0.16489966,0.06868527,0.0291955,0.38761047,0.1032713,-0.06827837,-0.17955974,-0.02167806588113308
-0.28152093,-0.10220817,-0.19415037,0.25626794,-0.2583792,-0.19003835,-0.14757499,-0.004880775,-0.22461486,-0.25749463,-0.076578066,-0.289727,0.11035735,0.16216142,0.047648627,0.12845495,-0.094112806,0.1607402,0.076719135,0.23840885,0.020318365,0.30340043,0.07535669,-0.19204544,-0.042770967,-0.31740105,-0.11035272,-0.097826265,0.07965314,0.07752253,-0.060970023,-0.2135689,0.11309635639190674
-0.093942516,0.094678134,0.09756111,0.3576332,0.20948628,0.02832545,-0.12281913,0.06206602,0.07103261,0.121176355,0.051682234,-0.015057775,-0.1919555,0.09284002,0.3175743,0.12654902,-0.4203969,0.087516926,-0.1184217,0.15219384,0.23734559,-0.020451698,-0.016535543,-0.1600859,0.20105045,0.21572939,0.18172984,-0.16996843,-0.110530116,0.05168198,-0.34869856,-0.08136698,-0.11675726622343063
0.12509704,-0.21981478,-0.13377799,0.2706079,0.15373127,-0.15516819,-0.14901398,0.1357257,0.057206113,0.37569043,-0.041611828,-0.01729723,-0.15253367,-0.056961637,0.034594566,0.09761515,-0.11076923,-0.11827725,-0.20878087,-0.34234318,-0.04562639,0.51365197,-0.029664803,0.088647425,-0.01345754,-0.11398107,0.017262079,-0.050322466,-0.025260221,0.029138934,-0.22675557,0.20560202,0.3268815577030182
-0.16106516,0.2999778,0.22459024,0.18919106,0.13396318,0.15852009,0.055808403,0.1875179,-0.3811512,0.0011715351,0.24881618,-0.08974793,-0.11149278,0.16268621,-0.0069197477,-0.1832593,-0.1725067,0.2385029,0.0011671406,0.08373942,0.018388871,-0.15292707,0.3380968,0.11013807,-0.09502232,0.14328997,0.16001335,0.16644616,-0.13824798,0.264877,-0.07960559,-0.08008841,-0.307096004486084
-0.077398166,0.08266342,0.12296496,0.036498822,0.20218495,0.24921052,0.16992843,0.07078215,0.12021064,0.2952528,-0.094103046,0.123250104,0.05583514,0.008862381,-0.014601331,0.077375494,-0.10379711,0.2964483,0.18924482,0.11844639,0.026422197,-0.18355785,-0.3549077,0.18768808,-0.36342803,0.2542973,0.33802757,0.015375377,-0.119520195,0.061000828,-0.10825746,-0.11720843,-0.3837100565433502
-0.024171896,0.12219422,0.26826504,0.027008621,0.26539478,0.17132981,0.1390845,0.26925042,-0.16065198,0.14194523,-0.18153301,-0.16196945,0.072167665,-0.10562205,-0.29598358,-0.027845915,0.13625991,-0.10187486,0.22788687,-0.105553426,-0.3130482,-0.002378927,-0.1203668,0.026725307,-0.41156924,0.07432906,0.09279191,0.17797834,-0.15392557,0.23987685,-0.05900966,0.07159002,-0.2459808737039566
0.024377115,-0.42324647,-0.06805507,-0.290774,0.040229503,-0.059435256,-0.116693534,-0.17304723,0.06274762,0.1146448,-0.18776488,0.040145878,0.13509728,-0.016495608,-0.09298817,0.018114436,0.13058506,-0.19702971,-0.26094908,-0.023618419,0.025599645,0.123812854,-0.45432767,0.3046438,-0.0477189,-0.19042069,0.1938107,0.15335031,-0.045199856,0.062326968,-0.07711113,0.22294717,0.3248462378978729
0.22587793,-0.3958332,-0.025279215,-0.009667951,-0.06551784,-0.24400058,-0.044773456,-0.23173483,0.087852135,0.12796228,-0.10291624,-0.04950053,0.06087572,-0.15216146,0.14675002,0.014500374,0.1675952,-0.21317035,-0.34402096,-0.059949104,-0.067035414,0.22417018,0.025510972,0.06831727,0.23907782,-0.48074555,-0.14651221,0.101362765,0.017998388,-0.06065082,0.0160528,0.080473855,0.6118198037147522
0.27038988,-0.41577786,-0.024849012,-0.012725092,-0.1031069,-0.14941151,-0.0948162,-0.1715744,-0.02371475,0.16692317,-0.13263485,-0.0758484,-0.034380134,-0.13600127,0.24559708,-0.08084871,0.14230977,-0.13073723,-0.36609638,-0.20915954,0.019092223,0.27528438,0.11412844,0.12139305,0.21236487,-0.33544764,-0.0091080535,0.17801355,0.1642379,0.06307795,-0.033580307,0.055227503,0.7143194675445557
0.25050262,-0.41428524,-0.12016893,-0.019346341,-0.057020508,-0.11989892,-0.017831735,-0.15876864,0.008668993,0.23660205,-0.16134724,-0.12678078,0.15764214,-0.14456809,0.13098201,-0.015695825,0.10391205,-0.1579437,-0.36048833,-0.1430132,0.0498618,0.39259,-0.043589853,0.080861606,0.09407433,-0.36624193,-0.05718481,0.11673273,0.10276991,-0.025862886,0.035093445,0.1509667,0.6852725148200989
0.25235927,-0.37822402,-0.11865783,0.05809055,-0.12686469,-0.17331949,-0.11230717,-0.19127621,0.009728243,0.12691374,-0.14060698,-0.12827633,0.060116075,-0.052211914,0.26172507,-0.07743588,0.1113175,0.078011066,-0.43137488,-0.03588362,0.03374804,0.27601105,0.07975765,0.14110208,0.2574471,-0.37534112,0.006398428,0.039338455,0.15810989,-0.04147194,0.021116126,-0.043078434,0.6576816439628601
0.25244734,-0.3275263,-0.17201321,0.17804894,0.049759217,-0.18868653,-0.14098725,-0.1503346,0.03128078,0.18309605,-0.12899423,-0.06724139,0.030151527,-0.033505306,0.16911767,-0.115277275,0.012092289,-0.054074645,-0.46276554,-0.20493387,-0.013169337,0.36289287,0.065178744,0.09945727,0.17933294,-0.3601636,-0.02313059,0.041103937,0.02609904,0.05610472,-0.025844494,0.1172225,0.6239523887634277
0.21415512,-0.36348775,-0.10166257,0.00441091,-0.025374355,-0.2262127,-0.069704175,-0.1492982,-0.0021368342,0.18173929,-0.22268067,-0.16781884,-0.004746367,-0.062200997,0.26626763,-0.04372633,0.09831242,-0.07570544,-0.43023932,-0.0672837,0.053864922,0.34398922,0.0092861345,0.1317049,0.23016012,-0.3534224,-0.05273141,0.08496587,0.091923416,-0.05817918,-0.01222639,0.040646795,0.6649767160415649
0.30856636,-0.32934237,-0.06817527,0.09342647,-0.067473985,-0.20923802,-0.029409494,-0.12953067,0.13072562,0.1594447,-0.056314535,-0.055656273,-0.054570455,-0.204206,0.23743229,0.002075958,0.093183234,-0.21978503,-0.32259533,-0.31291348,-0.006853744,0.27440095,0.19440752,0.039762184,0.25826082,-0.26402444,-0.14356719,-0.002849007,0.04270839,-0.1454651,0.043300446,0.10749417,0.6680054068565369
0.29516637,-0.37055233,-0.10902263,0.09644283,0.0028779649,-0.12046425,-0.12534997,-0.1459337,0.05951435,0.1648386,-0.13740447,-0.119132236,0.11724066,-0.123307094,0.111108944,-0.07674903,0.08988304,-0.19063103,-0.42626947,-0.27583623,-0.05039692,0.32182273,-0.03692266,-0.023577914,0.17911571,-0.31481978,-0.09231002,0.027721675,0.060294155,0.027158959,-0.019890659,0.19075646,0.6454648375511169
0.25795788,-0.38783413,-0.12068177,0.015106777,-0.13183968,-0.203192,-0.12313705,-0.14718397,-0.019508248,0.063296296,-0.17676325,-0.10611739,-0.026837097,-0.092005074,0.24612218,-0.097077765,0.14609471,-0.08692703,-0.37065205,-0.21662296,-0.0031745378,0.2997766,0.14051132,0.16540216,0.19065022,-0.35165638,-0.07004182,0.09888677,0.14185515,-0.004247797,0.040537618,-0.00359054,0.705459475517273
0.24548092,-0.38450778,-0.06647522,0.13550544,-0.00026436985,-0.17880425,-0.053379096,-0.068145804,0.09187273,0.13300262,-0.23892838,-0.053485226,0.039751157,-0.17484285,0.262408,-0.025052883,0.068804644,-0.030415587,-0.49707294,-0.20456062,0.023146795,0.28467122,-0.054590955,0.06807687,0.1421154,-0.2922442,-0.19067925,0.07156578,0.026081877,0.023433542,-0.09915977,0.0038802398,0.6406631469726562
0.19237341,-0.3658991,-0.055660665,-0.03011833,-0.06648525,-0.1201502,-0.024582867,-0.06563199,-0.08612363,0.1676591,-0.055304974,-0.16659775,-0.0464859,-0.09231754,0.27796775,-0.024644302,0.11570859,-0.14425255,-0.28476834,-0.13904211,0.07979417,0.4000971,0.105499096,0.19845025,0.15707517,-0.37484822,-0.017358867,0.25416014,0.17669417,0.054434583,0.06711027,0.16152115,0.6429337859153748
0.3079332,-0.34392256,-0.1329737,-0.11286824,-0.05677798,-0.078541875,0.058923237,-0.10456895,0.035706267,0.25348175,-0.008561906,-0.026788753,0.16587201,-0.16341159,0.16099334,-0.046014737,0.16395178,-0.05304543,-0.52098435,-0.12839663,0.08504639,0.25167853,0.038452208,0.0998601,0.2107172,-0.26994655,-0.10025966,0.122586094,0.1362773,-0.027935466,0.06542521,0.1359686,0.6709840297698975
0.21943107,-0.3558041,-0.10095623,0.06355134,-0.060650274,-0.1673321,-0.19043662,-0.11984577,0.06397273,0.13337551,-0.10829524,-0.13092975,-0.045655224,-0.06461174,0.31305823,0.02223886,0.08805177,-0.05098358,-0.3392186,0.0039519905,0.05343626,0.378459,0.0033802986,0.020549348,0.28608638,-0.3508025,-0.10331042,0.01066279,0.2741294,-0.0675031,-0.047962125,0.059562646,0.5384103059768677
0.27911484,-0.39668855,-0.1757439,0.11666013,-0.026183464,-0.14206082,-0.16452773,-0.12662297,0.13045284,0.19675139,-0.085627474,0.03784682,-0.039820146,-0.08010638,0.18449374,-0.035462618,0.105371274,-0.044684775,-0.25524896,-0.26992983,-0.04366749,0.3873081,-0.0041222568,0.1562995,0.12664413,-0.3574966,-0.109254524,0.033913415,0.17335853,-0.017175443,0.047209024,0.17746931,0.5155526399612427
0.24564528,-0.3727973,-0.049719524,0.038363,-0.027817208,-0.16213037,-0.13710055,-0.037223082,-0.023970068,0.19621453,-0.18606685,-0.15644358,-0.050069794,-0.10616897,0.22344418,-0.037295636,0.18489021,-0.08502865,-0.27820867,-0.1487439,-0.075882,0.41057223,0.030493438,0.18973571,0.09640279,-0.3914411,-0.038946714,0.15383838,0.18850386,0.05947949,0.00879578,0.08473232,0.5826216340065002
0.29496312,-0.33705434,-0.021077227,0.045248672,-0.11279318,-0.100611664,0.0009879876,-0.091665134,0.031759214,0.2770105,-0.13385282,-0.22644077,0.028256841,-0.17010045,0.35587195,0.051109873,0.13182606,-0.10094478,-0.30426586,-0.095672615,0.08645323,0.3380077,0.15175614,0.0196406,0.28041995,-0.24270894,0.10279151,0.07896945,0.16416325,0.032292258,-0.0335987,-0.04267872,0.7729182243347168
0.24948452,-0.29617465,-0.18918236,0.11804442,-0.09996609,-0.1476591,-0.03813297,-0.028872635,-0.039865673,0.23346059,0.09734061,-0.08311243,0.030087458,-0.09367896,0.26948586,-0.010688844,0.04802614,0.05530138,-0.46240708,-0.16584778,0.10198516,0.36312872,0.19633955,0.1032028,0.23248594,-0.29721883,-0.08779406,0.04915332,0.12303193,-0.041950554,-0.008936187,0.060764503,0.6393266320228577
0.3222328,-0.3009168,-0.059361298,0.09352921,-0.053727873,-0.09593953,-0.02689093,-0.06975296,0.019298643,0.24832344,-0.05263262,-0.10977114,0.062066995,-0.16077758,0.29671612,-0.037306156,0.096339494,-0.014293669,-0.46291074,-0.119162425,0.06468713,0.32464913,0.15488046,-0.013834409,0.27032223,-0.28599146,-0.11095045,0.062340263,0.18489432,0.034187704,-0.025388196,0.02966094,0.6774380207061768
0.17610921,-0.40910858,-0.20247313,0.09008527,-0.08976211,-0.050711665,-0.10940814,-0.07218607,-0.04362029,0.17737621,-0.1144007,-0.20563233,0.048148002,-0.044416677,0.22903991,0.0051965034,0.035045758,0.004917896,-0.29927656,-0.19624653,0.08872779,0.4837673,-0.030183563,0.09587528,0.07414556,-0.30527443,0.026127843,0.07427378,0.24122573,0.112706915,-0.018218592,0.14740588,0.6325541734695435
0.28662065,-0.3820398,-0.026675306,-0.010776161,-0.07958681,-0.12151199,-0.08145639,-0.18482326,0.07938373,0.35413566,-0.1075897,-0.11637596,0.06351683,-0.10076384,0.19373268,-0.000503739,0.19131356,-0.06929021,-0.27247462,0.058680966,-0.031429987,0.33307153,-0.04015037,0.14990343,0.19826503,-0.39455488,0.09483994,0.09025763,0.17387092,-0.04611727,0.01921624,0.025945973,0.5732631683349609
0.28166273,-0.3113827,-0.003732612,0.03541148,0.046089984,-0.15654983,-0.08262551,-0.11399642,0.007846178,0.109913684,-0.100639306,-0.07563653,0.06183298,-0.11369794,0.26096267,-0.13547167,0.11464209,-0.12525389,-0.58110404,-0.16812669,-0.0036579752,0.13340993,0.09711549,0.16250305,0.31818545,-0.2718503,-0.04032047,0.056740656,-0.04867201,0.036566947,-0.0050180145,0.11241532,0.6590855121612549
0.3119169,-0.4099834,-0.0773395,0.07788444,-0.13813816,-0.08974833,0.05179012,-0.13801724,0.13643156,0.13487832,-0.08309027,0.020848881,0.077319846,-0.27601078,0.27488235,0.017537676,0.0620199,-0.11194108,-0.3454932,-0.34156767,0.053838957,0.24646346,0.13129942,-0.06069937,0.18873306,-0.23578171,-0.07790164,0.029548595,0.15161917,0.0873477,-0.028106133,0.07065755,0.7708408832550049
