dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,Value
0.17366707,0.3550249,-0.112644814,0.31687263,0.16276172,0.25535557,0.23063551,-0.014482626,0.07173432,0.13440341,0.028379383,0.09634175,0.19247133,0.14710942,0.14940633,-0.102091305,-0.09070259,0.30834392,0.030273713,0.053131063,0.21960972,0.087398835,0.14691795,-0.0692771,0.07843152,0.2516442,0.18097624,-0.036964916,0.22688888,0.26269484,0.21287197,-0.04670016,0.03704196587204933
0.17249325,0.34382224,-0.11022041,0.33105436,0.14718862,0.2448103,0.21885781,-0.0062318654,0.056862097,0.14909893,0.013482242,0.075073645,0.18199098,0.163603,0.16137218,-0.12729366,-0.104824975,0.3040128,0.041191615,0.037194412,0.22096016,0.10057147,0.14657708,-0.07348013,0.07720433,0.27014616,0.19350539,-0.026931945,0.21872532,0.25923613,0.19852968,-0.05880583,0.04391477257013321
0.18488245,0.33296835,-0.10101397,0.32478,0.15224779,0.25631475,0.21662529,-0.009312837,0.049450383,0.13043323,0.03332837,0.08204706,0.24155657,0.12479925,0.1489855,-0.13510102,-0.12226798,0.2977595,0.019591775,0.05558697,0.2360786,0.11278703,0.15903789,-0.08233065,0.07086632,0.23526873,0.17003193,-0.034881428,0.22649257,0.2514047,0.22061947,-0.02035396,0.05512136593461037
0.17264922,0.3485728,-0.11678799,0.30293024,0.16016974,0.24919431,0.21266416,-0.01318851,0.06721033,0.11149463,0.0011126152,0.069926284,0.18190776,0.17436543,0.13891765,-0.14404535,-0.107988805,0.32433107,0.027111748,0.06313608,0.22127156,0.096423015,0.13901402,-0.06764564,0.08268319,0.25328764,0.2062765,-0.028148016,0.23365057,0.24230355,0.2191474,-0.07318055,-0.007938239723443985
0.17340428,0.34378982,-0.10970432,0.31207097,0.17720653,0.25403753,0.21823221,-0.0018001667,0.06564813,0.12298539,0.012977894,0.078063026,0.18633114,0.15328236,0.1588599,-0.1358654,-0.12426589,0.28712684,0.01874464,0.03380049,0.21480738,0.12355838,0.16421089,-0.08651107,0.07417975,0.25028354,0.20302306,-0.022773458,0.21550784,0.27884278,0.2020767,-0.031512573,0.058308184146881104
0.17388171,0.35772812,-0.11231375,0.3079786,0.16735087,0.24417005,0.22744155,-0.023765264,0.05330103,0.13645758,-0.0015161437,0.06649662,0.17241427,0.17007343,0.15952007,-0.14631161,-0.11257557,0.30355182,0.033744924,0.03545004,0.22234003,0.10285141,0.1401639,-0.07918712,0.07868453,0.25509197,0.18854275,-0.027099954,0.22495936,0.25283694,0.21352383,-0.046962492,0.017713438719511032
0.17099293,0.3517036,-0.09577373,0.32279503,0.15183887,0.25052464,0.22780687,-0.00642321,0.061630804,0.13463137,0.004213717,0.07795767,0.17430855,0.13391179,0.14740111,-0.14192036,-0.12280843,0.29887116,0.037117608,0.032704186,0.22641198,0.10427952,0.15786588,-0.08582921,0.06510236,0.28212577,0.17815815,-0.044208303,0.22802241,0.24205786,0.19889243,-0.09374512,0.05619526654481888
0.18301876,0.3477885,-0.10044526,0.3113721,0.16398802,0.25686333,0.22077467,-0.0028318397,0.06102352,0.13574216,0.019021278,0.08242629,0.1914571,0.13909024,0.15496351,-0.1491038,-0.12799513,0.28595957,0.01574519,0.027299741,0.2218429,0.10717396,0.15942062,-0.083186716,0.07900338,0.25984067,0.1885322,-0.023441015,0.22653323,0.2602332,0.20901172,-0.023886183,0.05831925943493843
0.16768032,0.35206145,-0.11989036,0.3068546,0.15645918,0.24981143,0.2268042,-0.011729268,0.055950366,0.12876047,0.0009402646,0.08452204,0.18044132,0.16906491,0.1518364,-0.14797164,-0.119155765,0.2984091,0.03721799,0.050641026,0.22142059,0.10639026,0.14888075,-0.06744914,0.06089386,0.26027575,0.17761499,-0.028974755,0.23224366,0.2503957,0.21286882,-0.08916348,0.01540601346641779
0.18494347,0.3510443,-0.104328476,0.33529082,0.15807489,0.2540736,0.2247158,-0.0102669215,0.057147995,0.12715396,-0.0076144123,0.0649884,0.1710244,0.14988129,0.14967257,-0.16272739,-0.12581624,0.30477318,0.026058836,0.029980494,0.22118993,0.10859888,0.1315941,-0.07476751,0.07479614,0.2635985,0.16355737,-0.018448662,0.22077897,0.25173682,0.18662746,-0.1084877,0.04684316739439964
