RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16
0.0049638627,-0.31850362,0.18475279,0.18980356,0.38937584,0.30219463,0.020174127,0.25786203,0.10583101,-0.10509548,0.013753648,0.06910629,0.042854298,-0.32362372,0.2670635,-0.49622017,0.0036022663,-0.31726742,0.18405533,0.1855855,0.3880062,0.3059461,0.02352041,0.25967598,0.10650882,-0.10214484,0.0024784207,0.0673908,0.044550657,-0.32743883,0.27202082,-0.4927311
0.0007658418,-0.32244155,0.17926559,0.19014917,0.3777404,0.30914873,0.025191994,0.2632941,0.10336401,-0.119502194,0.008841887,0.0721701,0.04718885,-0.32089603,0.2770333,-0.50125635,0.0014774799,-0.3173294,0.19002867,0.18420076,0.3862362,0.30466986,0.025668502,0.26049232,0.10510957,-0.11293149,0.003652215,0.06975603,0.049762726,-0.32505846,0.2779169,-0.49734306
0.0002101406,-0.32283843,0.17908908,0.19420713,0.38693047,0.31269166,0.026215555,0.25482473,0.1063057,-0.110800385,-0.0042168694,0.06361503,0.048078015,-0.3231893,0.2778228,-0.49658746,-0.001875639,-0.3157277,0.18410826,0.1877296,0.39076662,0.3112049,0.024579287,0.25691128,0.105810404,-0.11023784,0.0039057136,0.067019224,0.048574924,-0.32579947,0.27912998,-0.49776268
-0.012660203,-0.31481096,0.18518637,0.18772012,0.38347164,0.33226153,0.01890497,0.25291553,0.122821145,-0.11780652,-0.0006091399,0.06530755,0.042874306,-0.3325914,0.29101112,-0.4846296,-0.0046105385,-0.31392527,0.1842103,0.18832088,0.39225054,0.31184387,0.026117563,0.25597382,0.107720256,-0.112976074,0.0045907497,0.06693888,0.048630714,-0.32582378,0.28304958,-0.4997673
-0.0072292,-0.3169134,0.18678826,0.19233249,0.39005348,0.3114009,0.017584208,0.25646955,0.117711395,-0.11532108,0.00070176227,0.06406472,0.04687548,-0.3148066,0.29234266,-0.5051567,-0.0069522858,-0.31318474,0.1849227,0.1886921,0.39104414,0.31383848,0.020647764,0.2549944,0.11205143,-0.11740303,0.0060873628,0.063289165,0.04868555,-0.3177724,0.2918625,-0.5065422
-0.0073775956,-0.31550404,0.1876827,0.18158162,0.38401413,0.31466708,0.018935595,0.25478947,0.116661355,-0.12455526,0.0043450063,0.06224269,0.056903183,-0.31377956,0.29217628,-0.51264304,-0.007326126,-0.313303,0.18750477,0.18737698,0.3885994,0.3131323,0.018023968,0.25610352,0.11324185,-0.12168932,0.0067366958,0.06381893,0.051402807,-0.31443357,0.29592323,-0.51008606
-0.009912105,-0.30607933,0.18480976,0.18471143,0.39783773,0.31061444,0.015481766,0.25714272,0.112900965,-0.1223994,0.019176286,0.06309324,0.052379288,-0.31323645,0.2975831,-0.51511866,-0.008037806,-0.31057167,0.18609428,0.18777084,0.39094067,0.30990267,0.016158342,0.25707054,0.118246436,-0.12586665,0.0073810816,0.06445551,0.050982475,-0.31519938,0.29910946,-0.51210403
-0.01446181,-0.31116104,0.18301274,0.20121612,0.3904853,0.3096368,0.02512028,0.26358944,0.11221342,-0.1256183,0.0020673424,0.060709402,0.052718524,-0.31166205,0.29935333,-0.5113833,-0.009134769,-0.3103614,0.18522453,0.1877613,0.39184523,0.310174,0.01485157,0.25740242,0.120322704,-0.12760448,0.007935166,0.06484175,0.052384853,-0.31500435,0.30005074,-0.51234055
-0.011367634,-0.31854847,0.1845329,0.19006374,0.3930084,0.3039827,0.024730377,0.26090077,0.122370176,-0.12502821,0.004313889,0.06711558,0.05381064,-0.31728035,0.30283841,-0.5080783,-0.010864258,-0.30891705,0.1843195,0.18807554,0.39373922,0.30770302,0.013957977,0.25840473,0.123880506,-0.12657928,0.007922053,0.06531668,0.04999733,-0.31541252,0.30206108,-0.5140343
-0.009349241,-0.30492145,0.19059339,0.18405919,0.38466465,0.30500826,0.002816664,0.26820752,0.12761559,-0.12523226,0.002241999,0.06218522,0.04870535,-0.3178132,0.30683795,-0.5165885,-0.0103673935,-0.3083191,0.18534184,0.18651056,0.39507723,0.3040781,0.011606216,0.26027012,0.12760311,-0.12916422,0.007990718,0.06616354,0.05083704,-0.3165536,0.30412483,-0.51379013
-0.011538548,-0.31446692,0.1798082,0.18389584,0.3851818,0.30352727,0.02005877,0.2618568,0.13229,-0.12346708,0.0034129033,0.067841336,0.04829977,-0.31365567,0.30387977,-0.52455693,-0.011147499,-0.30781937,0.18698788,0.18635082,0.39525604,0.30348682,0.012378216,0.2602768,0.12732041,-0.12981796,0.0080759525,0.06603813,0.05273056,-0.3163786,0.30548477,-0.51407623
-0.012491835,-0.31344607,0.18801995,0.18324569,0.38274714,0.30564743,0.011987275,0.26383364,0.12909666,-0.12982453,0.01475654,0.06271202,0.055937644,-0.3138227,0.31638896,-0.5130995,-0.011366367,-0.30777264,0.1875515,0.18561697,0.39584637,0.30327415,0.011559486,0.2605095,0.12745595,-0.13021469,0.00878942,0.06531143,0.052788258,-0.31529903,0.3065834,-0.51501846
-0.011611966,-0.30337393,0.18616603,0.17287491,0.39044213,0.3107294,0.013983447,0.26709864,0.12841594,-0.121951826,0.0060598846,0.0535206,0.04834808,-0.32129103,0.31851852,-0.5125942,-0.01182127,-0.30688095,0.18907928,0.1858797,0.39613914,0.3017187,0.01147604,0.26127243,0.12748194,-0.13044834,0.0098234415,0.06423998,0.051779747,-0.31471443,0.3081932,-0.51576996
-0.017919736,-0.30713776,0.19345328,0.18579373,0.39736256,0.29591602,0.008198169,0.26351961,0.12625548,-0.1233509,0.018884817,0.06519131,0.050481983,-0.31213138,0.30256248,-0.5238613,-0.01215744,-0.30695534,0.18979836,0.18577051,0.39463997,0.30255604,0.010996103,0.26099014,0.12864792,-0.13280153,0.010090947,0.06388378,0.052062035,-0.3125639,0.310009,-0.51709366
-0.020006029,-0.31216043,0.1910116,0.18802333,0.38614035,0.30329528,0.010308694,0.2628788,0.13568947,-0.12773967,0.011971789,0.07123649,0.050629847,-0.31346542,0.30956647,-0.5189193,-0.012405872,-0.30661583,0.18942451,0.18584919,0.39563274,0.3026476,0.010397434,0.2606554,0.12980211,-0.13361454,0.010040641,0.06409454,0.051968575,-0.31280613,0.31028366,-0.5169678
-0.021413263,-0.31322542,0.19302596,0.18507096,0.39858797,0.299869,0.013833223,0.2600889,0.13932037,-0.13785613,0.020973925,0.058611125,0.06051132,-0.3113542,0.30767253,-0.51157075,-0.012378693,-0.30670738,0.18949318,0.18584442,0.39603233,0.3022852,0.009452343,0.26074123,0.13043779,-0.13356066,0.01000905,0.06395435,0.051979065,-0.3130226,0.31105423,-0.5168419
