dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,Value
0.077961,-0.040170643,0.09316019,-0.05038249,-0.25823474,-0.09334798,-0.02764726,-0.302603,0.095599756,0.14246275,0.3094328,0.28192103,0.11038959,-0.07561781,-0.4730539,-0.02037778,0.13575831,-0.17306738,0.25605273,-0.004367653,-0.23585531,-0.16797529,0.20730262,-0.18109766,0.09096591,-0.21657106,0.06924466,0.061421584,-0.033502553,0.10807316,-0.058341343,-0.11431054,0.011608967557549477
0.12012449,0.006688925,0.14406872,0.36731303,0.15159406,0.027500192,0.2948961,0.12727351,0.0069534048,0.18082607,-0.24274173,-0.08402218,0.10791011,-0.20326814,0.38243392,-0.0359211,-0.07848301,0.27671948,-0.28326562,-0.073923886,0.05499687,0.015369777,0.23437533,0.059838515,-0.049246613,0.00021473848,0.092792064,0.031927574,-0.18282373,0.22551097,-0.07731768,-0.26681396,0.5460790991783142
0.026313676,-0.20749089,0.17895623,0.051894493,-0.059265655,-0.15922827,0.056513134,0.27917954,-0.12865998,0.04491093,0.09031498,-0.20331247,0.15048267,-0.31564483,-0.04777841,0.2534892,0.15129301,-0.2641455,-0.30031312,-0.28012303,-0.15621589,0.037067495,0.1920914,0.032192547,0.050609246,-0.016785078,-0.011891129,0.040948838,-0.40942326,0.07200069,-0.22626671,0.030900458,0.6863899230957031
0.21639338,-0.3230216,-0.12909968,0.13493833,-0.024135506,-0.12413052,-0.07514921,-0.15071754,0.057505775,0.17814705,-0.18386438,0.03016853,-0.010650871,-0.051823463,-0.019567156,-0.14037645,0.1726612,-0.060634352,-0.0033847427,-0.3248967,-0.21911803,0.376747,0.042806428,0.25876415,-0.10073787,-0.44170007,0.009711491,0.12521487,0.103992246,0.12875363,0.12513964,0.12281183,0.6115703582763672
-0.13215652,0.06729472,-0.003832032,-0.117168576,-0.18509468,0.19775945,0.058961812,-0.24574074,-0.053584587,-0.108886115,0.48419985,0.029511686,0.3549137,0.13433935,-0.15988018,-0.024565067,-0.06790754,0.13912885,-0.004110717,0.32424155,0.09996745,-0.41617593,-0.08953063,-0.10573571,0.11580552,0.029152088,0.09652917,-0.08384806,-0.1212616,-0.09944348,0.1404475,0.019177614,-0.39953339099884033
0.061151452,0.14747141,0.05366939,0.17087689,0.03577328,0.13991934,0.1428157,-0.2981519,0.20971538,0.11825364,-0.031308122,0.38345638,-0.16252705,0.038556006,0.13332298,-0.17470369,-0.21194316,0.25748733,0.26324806,0.18064785,0.12106005,-0.07878287,0.09060833,-0.23033555,-0.046142034,-0.115060434,-0.03759421,0.089983076,0.36725503,0.19238296,0.017665574,-0.19428495,-0.3485206961631775
-0.0070362054,-0.029223587,-0.026646793,-0.08551874,-0.32506385,0.07092539,0.009630097,-0.04255802,-0.098240644,0.23554423,0.3855858,0.033712287,0.30755255,0.05819444,-0.20967294,0.039420944,0.18947628,0.46339718,-0.056839984,0.24313211,-0.10347413,-0.16640556,0.01587105,0.14582498,-0.07206507,-0.029351257,0.11998881,-0.09789915,-0.013505582,-0.17260699,0.038327716,-0.29267251,-0.20517157018184662
0.003916086,-0.21826409,-0.2035464,-0.013527701,-0.1599717,0.16292466,-0.04926435,0.108730696,-0.12536046,0.16491547,0.18271506,-0.04389306,0.05037494,0.078824945,0.1870355,0.045106295,0.053022105,0.50092185,-0.18761294,0.0066418066,0.06933589,0.2818241,-0.19062011,0.24214393,-0.23981027,-0.12409357,-0.12732533,-0.014456814,0.3555762,-0.15811728,0.09080462,0.056269743,-0.06645119190216064
0.19850649,-0.081271216,-0.2901274,0.20194703,-0.10867542,0.15349394,0.036211025,-0.27783886,0.026470078,0.24159466,0.07164973,0.13906297,0.14337124,0.1057578,-0.07674376,-0.29602164,-0.032294236,0.31370804,0.0350939,-0.19147643,-0.0016589634,0.26974466,0.058604453,-0.0011951923,-0.12564316,-0.23534141,0.0523889,0.005057196,0.3814224,0.17015797,0.20580456,0.045523692,0.2219231128692627
-0.0926361,0.26264444,0.17215244,0.16602892,0.22555514,0.14006342,0.23869875,0.1972412,0.014146486,-0.090664715,-0.12760918,-0.018464241,-0.10725003,-0.089499444,0.3866767,0.066328794,-0.30311882,0.13182327,-0.11914641,0.1295157,0.29374528,-0.1657467,0.0777787,-0.2558932,0.026389156,0.33436564,-0.05772101,-0.021323519,-0.028310085,0.111799404,-0.16168723,-0.1383466,-0.16733258962631226
0.16467403,-0.3710922,0.10558233,0.13814491,0.008363731,-0.17403099,0.025691697,-0.07631305,0.036254525,0.068819135,-0.1058226,-0.03059536,0.091127805,-0.24263029,0.044284496,0.044799298,0.17456158,-0.28484055,-0.13314347,-0.28296757,-0.2466965,0.14559579,0.11870375,0.20595518,0.034742337,-0.43822226,0.009565951,0.17134364,-0.24190976,0.18175924,-0.009921243,0.12827331,0.8035364747047424
0.21212007,-0.25227213,0.1218784,0.3010227,0.038384072,-0.13258234,0.11121845,0.04324006,0.028872054,0.1986435,-0.158515,-0.0041037486,0.028048117,-0.29889768,0.11945774,0.020797972,0.06960194,-0.15479879,-0.14777213,-0.38151824,-0.17011729,0.22446838,0.268836,0.042662866,-0.0061727283,-0.26720616,0.008474476,0.1609967,-0.13007449,0.31092244,-0.14624552,-0.017626911,0.8746225833892822
0.1951594,-0.35628766,-0.078968614,0.15971425,0.017299514,-0.066824526,-0.036954366,0.039258115,-0.07178078,0.08269538,-0.11888484,-0.1585822,0.15610981,-0.16333316,0.07926605,-0.03256001,0.11220531,-0.1586362,-0.23173393,-0.40963784,-0.14133407,0.3850267,0.06782459,0.2184998,-0.04904729,-0.33009985,-0.012557215,0.08620381,-0.07267771,0.1499837,0.056873273,0.23684765,0.8609408140182495
0.21545902,-0.2668717,0.06521664,0.26398578,0.012005978,-0.09215049,0.12026687,0.08953237,-0.032359246,0.24416444,-0.2095519,-0.12224635,0.15886615,-0.19216523,0.18902084,-0.01212882,0.15872565,0.18629849,-0.2830193,-0.21478792,-0.17034383,0.2059569,0.18394038,0.29708365,-0.06789178,-0.27443457,0.10782714,0.08389666,-0.15803964,0.15776147,-0.03783401,-0.17375118,0.7981818318367004
0.2354134,-0.23159662,-0.07418984,0.29671875,0.09354654,-0.02318974,0.086894855,0.03518829,-0.028883878,0.15934585,-0.2000612,-0.11894168,0.12583794,-0.15990102,0.15120666,-0.10291719,0.025106449,-0.040833294,-0.24680458,-0.429266,-0.10331802,0.36905625,0.19575642,0.13038595,-0.057716183,-0.24235173,0.06443038,0.09325297,-0.060887843,0.29273975,0.01790703,0.09873474,0.9229368567466736
0.16481371,-0.29284495,0.051699,0.20130928,0.12921986,-0.12854719,0.0578723,0.16985804,-0.045100935,0.1324994,-0.32055584,-0.18377753,-0.01542271,-0.1860899,0.30580094,0.041131068,0.12149249,-0.017731037,-0.26267835,-0.3055216,-0.11782366,0.31609523,0.06646936,0.29127884,-0.0703018,-0.240369,-0.011329147,0.11104243,-0.14120106,0.120312914,-0.03892296,0.026049886,0.781603991985321
0.16764574,-0.1952076,0.105949886,0.21619527,0.08182583,-0.15657921,0.06908479,0.06925428,0.0064210985,0.051681947,-0.18248384,-0.09153871,0.03981031,-0.2880243,0.006970444,0.0034994937,0.04605161,-0.3975541,-0.1610036,-0.45506343,-0.16041698,0.20611444,0.24899448,-0.0032195833,0.060103755,-0.16984597,0.016070409,0.09428217,-0.21747424,0.262309,-0.11311178,0.11019485,0.883710503578186
0.20375876,-0.22021832,-0.039747253,0.21407852,0.04409293,-0.061953947,0.041636955,0.08548666,-0.060990684,0.09906022,-0.10300139,-0.13362728,0.12938309,-0.21872337,-0.00097591104,-0.055208255,0.034660812,-0.26508856,-0.24270833,-0.52668893,-0.12055284,0.32654676,0.20954208,0.023267984,0.016387308,-0.16580188,0.015243075,0.072162226,-0.11121159,0.2768067,-0.044168755,0.20146777,0.9381358623504639
0.19754748,-0.20578118,0.083525665,0.2119986,0.10502369,-0.19023593,0.061601322,0.16298129,-0.021037899,0.15266024,-0.34271204,-0.13541096,0.023246985,-0.22623374,0.1203721,0.011105666,0.14284745,-0.15788361,-0.19930787,-0.33870512,-0.2134602,0.2590551,0.20999663,0.23370847,-0.024170933,-0.19120277,0.054574657,0.10311035,-0.23130636,0.18552154,-0.08391064,-0.07985181,0.8574054837226868
0.16704258,-0.21215235,0.15932235,0.28387567,0.117492415,-0.1027068,0.13496703,0.22774298,-0.027237555,0.1419465,-0.2684481,-0.14300296,0.0030842014,-0.2906259,0.27598226,0.063945144,0.042425387,-0.05848743,-0.28699487,-0.30597964,-0.08821921,0.22559384,0.17300744,0.12221483,-0.028619736,-0.119977094,-0.035452873,0.12724909,-0.21579191,0.20806354,-0.18286464,-0.08852934,0.8113669753074646
0.073057346,-0.3229381,-0.06860937,0.09130379,0.014184177,-0.071890905,-0.003563172,0.21579583,-0.16094519,0.00717782,-0.017324677,-0.28792846,0.18252292,-0.18513389,0.0975919,0.09545052,0.11868068,-0.18470864,-0.35812107,-0.39368623,-0.09438795,0.30059868,0.023813028,0.20748849,-0.029280763,-0.17360759,-0.04252703,0.066797465,-0.2021611,0.050239705,-0.0032223004,0.27385753,0.8093817234039307
0.12064087,-0.2604991,-0.10299057,0.21362716,-0.06496236,0.056751322,0.15333618,0.0500583,-0.16500148,0.097721286,0.16173343,-0.2393922,0.43050316,-0.18419625,0.03020579,0.004213294,0.05448297,0.024780512,-0.41555896,-0.33778208,-0.04841003,0.12964691,0.15503953,0.09156257,0.0011822034,-0.16972989,0.07929032,0.008312936,-0.23722872,0.16442457,0.052813195,0.15569799,0.8645997643470764
0.1776947,-0.21333842,0.10284604,0.28582925,0.13121372,-0.13079073,0.12871577,0.03789937,0.10188688,0.17784476,-0.31202674,0.026461162,-0.100931585,-0.26829752,0.29873934,0.00031425932,0.02012244,-0.020812325,-0.12867463,-0.2854238,-0.09615635,0.27634642,0.20111209,0.108705714,-0.082265876,-0.31258282,-0.06986677,0.18839373,0.0007858379,0.26387593,-0.11458649,-0.04972718,0.7075127363204956
0.22138755,-0.29676056,-0.16825229,0.14811106,-0.018153185,-0.101208806,-0.047326878,-0.15943758,0.0050102393,0.1170811,-0.13261822,-0.05655869,0.14518555,-0.06758086,-0.113813885,-0.15472421,0.14864486,-0.17544731,-0.06596526,-0.41175178,-0.21143793,0.33584362,0.085734636,0.19133581,-0.026779806,-0.3690026,0.06250958,0.07923159,-0.0554621,0.18332161,0.14948641,0.20751944,0.7778324484825134
0.13524143,-0.30461964,-0.022472441,0.1323307,0.05765955,-0.16189395,-0.021113047,0.20869718,-0.055728264,0.13796166,-0.26615822,-0.18054341,-0.017816102,-0.19457467,0.21017686,0.062036738,0.17302836,-0.027860438,-0.25331524,-0.30850452,-0.17406894,0.371621,0.04476572,0.33598256,-0.12242069,-0.2607222,-0.03723008,0.10908685,-0.09904833,0.04626822,-0.033479385,0.054043353,0.7351479530334473
0.13151869,-0.06568027,-0.01867445,0.33243763,0.07866846,0.055495836,0.2537797,0.19379862,-0.10935369,0.1606866,-0.067907445,-0.20355576,0.24732627,-0.2297651,0.22768182,-0.0040619206,-0.06505811,0.14609787,-0.4058556,-0.32729465,0.045294832,0.16638106,0.24261591,-0.02219551,-0.02731596,0.031595647,0.06207571,-0.0044279243,-0.18102959,0.2701867,-0.08594956,-0.036981586,0.8057302832603455
0.13600962,-0.18322797,-0.10100374,0.29481822,-0.023309022,0.10028351,0.19124028,0.1773835,-0.16334647,0.17491859,0.1162741,-0.17075755,0.26210734,-0.24544634,0.16768813,0.02637103,-0.05098545,0.17256601,-0.41356704,-0.37084776,0.044670884,0.23496114,0.1974764,-0.024416458,-0.07385935,-0.07687196,-0.018447302,0.03089124,-0.057339713,0.22398195,-0.078074835,0.06712701,0.7900985479354858
0.113207206,-0.14453113,-0.038889047,0.3056587,0.008613061,0.10431172,0.22898972,0.17156933,-0.14862753,0.13158827,0.07399214,-0.22229727,0.31682593,-0.23216549,0.19414972,0.02167098,-0.07343194,0.13444714,-0.4390084,-0.33714843,0.058451578,0.16210014,0.19953337,-0.018385116,-0.02665394,-0.033233777,0.01358404,0.010482222,-0.15983796,0.23621576,-0.059361637,0.07140514,0.8093751668930054
0.14463042,-0.1011697,-0.24042106,0.25509357,0.10867676,0.08280632,0.085184045,0.14004838,-0.12650923,0.06275734,-0.13457176,-0.2633895,0.17214549,-0.0779582,0.12525783,-0.100377634,-0.08539201,-0.0037300708,-0.32919818,-0.4862207,0.048659135,0.387081,0.10328607,0.026012171,-0.059678726,-0.004918098,0.0041569276,-0.028981198,0.009147994,0.21740381,0.05130894,0.24794263,0.778149425983429
0.21689233,-0.30959806,-0.003657094,0.1568311,-0.12169887,-0.16410579,0.02055445,-0.087176755,0.010697515,0.2731112,-0.092715114,-0.015435781,0.17040445,-0.16063927,-0.03503059,-0.05348597,0.27140474,0.062297415,-0.1283452,-0.1896019,-0.2911623,0.20287806,0.1380747,0.33395264,-0.08241029,-0.42681143,0.10595508,0.0928824,-0.14433691,0.099448696,0.0570702,-0.10480805,0.7099246978759766
0.08809304,-0.2177822,0.09292728,0.253756,0.1266356,-0.023071906,0.190502,0.037239023,-0.062412288,-0.05161492,-0.097289145,-0.2604623,0.26878226,-0.20408851,0.23602894,-0.0014503553,-0.01855832,-0.17715172,-0.38077012,-0.2645726,-0.010759175,-0.0040176655,0.12109634,0.11240363,0.07255055,-0.16510083,0.086006775,0.0498126,-0.43393108,0.20035106,0.025592592,0.13575263,0.8582302331924438
