TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16,TS_dim_17,TS_dim_18,TS_dim_19,TS_dim_20,TS_dim_21,TS_dim_22,TS_dim_23,TS_dim_24,TS_dim_25,TS_dim_26,TS_dim_27,TS_dim_28,TS_dim_29,TS_dim_30,TS_dim_31,TS_dim_32,RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,RLS_dim_17,RLS_dim_18,RLS_dim_19,RLS_dim_20,RLS_dim_21,RLS_dim_22,RLS_dim_23,RLS_dim_24,RLS_dim_25,RLS_dim_26,RLS_dim_27,RLS_dim_28,RLS_dim_29,RLS_dim_30,RLS_dim_31,RLS_dim_32
0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669
-0.0053447145,0.009121325,0.0008837057,0.017188285,-2.479786e-05,0.011553394,0.013808204,-0.0017133837,0.0038423904,0.010380149,-0.0012563467,0.007504719,0.011002894,-0.00066348934,0.013488911,-0.003201858,-0.007157436,0.01356053,-0.0018660512,-0.004784837,0.0031275977,0.004063624,0.005887678,-0.0042843916,0.00026507978,0.009323566,0.009932111,-0.001958571,0.009701252,0.0056338334,0.007938654,0.0017750255,0.006708751,0.0115331765,-0.002533221,0.012361555,0.005534633,0.009246898,0.007861393,0.00052371173,0.0019160722,0.0054515577,0.0015794516,0.003168228,0.0077849235,0.0025726606,0.0058415225,-0.004571829,-0.0050780447,0.008798949,0.00036448316,-0.00011297548,0.007944481,0.004616296,0.0065126214,-0.0038079799,0.002296535,0.009270193,0.0054821633,-0.0011178163,0.0071306247,0.009884529,0.006187422,-0.00015547127
0.021264851,0.0094416905,0.021887917,0.011779231,0.009693146,0.014503848,0.012225287,0.024615131,0.0035191444,0.019058198,0.0072194356,0.01564282,0.012061526,-8.42493e-05,0.022879865,0.009993691,0.015572213,0.011634895,-0.00075665256,-0.0015897811,0.005772927,0.014238491,0.013936747,0.004680442,0.01177003,0.016284313,0.013523023,0.018615464,-0.0008644697,0.009441041,0.012871807,-0.006979415,0.022810562,0.00975362,0.013132407,0.011444485,0.009711409,0.008833723,0.018157605,0.018005231,0.0016692546,0.016945979,0.02144136,0.017494632,0.013495524,0.0025463176,0.01413496,0.013459768,0.015552783,0.012215719,0.005019252,0.0032675453,0.012998481,0.01673294,0.0167541,0.001016846,0.014102736,0.013063667,0.006789912,0.013745224,0.0026802765,0.016857028,0.008920257,0.002618432
0.10777079,-0.003245515,0.065408215,0.08869919,0.011663831,-0.027805516,0.07314617,0.10333808,0.038296066,0.076050445,0.0026214374,0.05129616,0.012690477,-0.07711844,0.000100736506,0.06550712,0.043515574,0.015271029,-0.013027594,-0.065951884,-0.046601303,0.044326227,0.1106458,0.0015595527,0.012345444,0.054418895,0.033077307,0.0029371649,-0.05730272,0.09071349,-0.09880532,-0.16016228,0.10047637,-0.00067434367,0.06954332,0.082315035,0.017152049,-0.031020544,0.07398754,0.09986511,0.039731115,0.071024254,0.0107979365,0.04334897,0.010620854,-0.07958544,0.008718882,0.06615213,0.049773745,0.011347918,-0.0140232695,-0.06885433,-0.054800294,0.054237366,0.11638295,-0.003603879,0.015862294,0.05487279,0.035282508,0.00054380856,-0.05355587,0.091483265,-0.093394175,-0.15826812
0.14686885,0.040835377,0.09778789,0.15429336,-0.024208225,-0.11951165,0.10187289,0.15381154,0.0011700946,0.1835742,-0.044569965,0.016590344,0.009109659,-0.21597622,-0.10947379,0.055865485,0.05126635,-0.026305355,-0.0899811,-0.20810747,-0.11737743,0.0764258,0.27105993,-0.11509219,-0.0213698,0.05446343,0.051627263,0.0067200763,-0.10050881,0.17751534,-0.24325502,-0.2982739,0.14104968,0.043623805,0.093109876,0.149614,-0.029434003,-0.11064617,0.10223031,0.15082335,0.0016603395,0.17643905,-0.046552464,0.02114898,0.005060517,-0.20928156,-0.10214992,0.049763337,0.057255767,-0.02946765,-0.09255818,-0.20504653,-0.116237044,0.07659985,0.277498,-0.11574867,-0.026492577,0.059925944,0.057635784,0.004047267,-0.101989076,0.17017975,-0.25377047,-0.29639554
0.13362578,0.03956575,0.1036873,0.16336179,-0.03451538,-0.118861556,0.11195449,0.17203665,0.0017852248,0.20348857,-0.053410795,0.008737694,0.0029988978,-0.23850931,-0.120732106,0.054972764,0.044388317,-0.029813524,-0.081783935,-0.21731365,-0.11573556,0.07168148,0.28483033,-0.120829105,-0.02776729,0.06579214,0.059829637,0.014573382,-0.13345589,0.18891977,-0.2511537,-0.2958825,0.13881046,0.04007417,0.10260695,0.15984178,-0.03626696,-0.12442157,0.10376173,0.17113689,-0.005586356,0.20413673,-0.05993803,0.017476633,-0.0026286338,-0.23312563,-0.107604235,0.05627787,0.06375453,-0.02707415,-0.09059176,-0.22124004,-0.12570775,0.07488057,0.29769284,-0.119252294,-0.023175959,0.06479734,0.05623284,0.0062093735,-0.110853314,0.18548203,-0.2582633,-0.279716
0.12220608,0.037557673,0.11803354,0.166503,-0.048296023,-0.1161393,0.117624655,0.18136308,-0.035550334,0.2099465,-0.028127484,0.022616241,0.017015519,-0.24975058,-0.10710954,0.07501868,0.07050376,-0.03560618,-0.092295006,-0.24004605,-0.12821172,0.06642731,0.32461205,-0.14032684,-0.02543471,0.058250643,0.051903743,0.014475515,-0.120584905,0.18807149,-0.25698018,-0.2717444,0.12931609,0.03015703,0.111845344,0.16875648,-0.040662117,-0.11991489,0.114436716,0.17749059,-0.017902955,0.21989453,-0.036939293,0.017306767,0.018579792,-0.25665402,-0.107028484,0.07157159,0.06702724,-0.032466616,-0.103185415,-0.23370689,-0.13064086,0.0643065,0.31557262,-0.13357365,-0.021445025,0.06756562,0.048784316,0.009304419,-0.12953633,0.19723928,-0.25777018,-0.26574802
0.11293044,0.01814958,0.1334506,0.17833902,-0.033137534,-0.111231185,0.12688895,0.18157567,-0.035205424,0.22408712,-0.024037406,0.019051531,0.031545132,-0.27252784,-0.10275146,0.07799286,0.049002986,-0.03890818,-0.1135713,-0.24891277,-0.11734587,0.066847,0.33103937,-0.15387146,-0.00830564,0.0741317,0.028714236,0.0224712,-0.13598911,0.19969067,-0.2836302,-0.24695982,0.12262118,0.015706241,0.123190284,0.18441194,-0.04099443,-0.11292297,0.1296781,0.18251759,-0.027101457,0.2215116,-0.026205033,0.016551003,0.027189191,-0.27125657,-0.098171175,0.08172393,0.056714118,-0.04366017,-0.1172048,-0.24796641,-0.11991757,0.06277615,0.33546782,-0.15191591,-0.02021315,0.0638811,0.03319162,0.01791872,-0.14314061,0.21298426,-0.26766837,-0.24053478
0.13108544,-0.0062028496,0.12234841,0.20185098,-0.039894287,-0.11873776,0.1386638,0.19188544,-0.029555881,0.20703891,0.003791879,0.022159396,0.04884154,-0.28252992,-0.09227549,0.09751039,0.0495352,-0.051399413,-0.1292008,-0.25678423,-0.11984434,0.04971665,0.36584184,-0.16766143,-0.007891955,0.06279005,0.020021137,0.023147723,-0.13851759,0.21971162,-0.28073198,-0.2070876,0.12167919,0.0038002133,0.13667762,0.19603932,-0.045272656,-0.10536003,0.14012858,0.18953794,-0.03026086,0.22262871,-0.009097755,0.013809562,0.040414006,-0.28891087,-0.09123725,0.09368825,0.049729407,-0.055492744,-0.12813759,-0.25883424,-0.1155591,0.058002353,0.3470832,-0.17216322,-0.013296768,0.06433731,0.023075342,0.02098614,-0.147277,0.22109586,-0.27298057,-0.21355057
0.09863152,-0.008775436,0.1476873,0.22288811,-0.049924117,-0.10818673,0.15362032,0.18946025,-0.0330161,0.22092868,0.019786201,0.018539572,0.055393208,-0.29943952,-0.07149381,0.10130881,0.032076456,-0.060453154,-0.14025147,-0.28556183,-0.10024885,0.06024246,0.35103875,-0.20489721,0.006256318,0.057617225,0.00041799573,0.025233608,-0.16978304,0.23589875,-0.26969853,-0.19258364,0.11636913,-0.0115737915,0.14937952,0.2099002,-0.0493063,-0.09489477,0.15789169,0.19209969,-0.036991954,0.22025311,0.018746078,0.012191683,0.053275198,-0.31182218,-0.0733484,0.10546541,0.032470584,-0.062243283,-0.14605206,-0.27840102,-0.10189283,0.053586006,0.35692048,-0.19841821,0.001739651,0.05583954,0.0076248646,0.030915827,-0.16230929,0.23826349,-0.27732491,-0.17518806
