dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.17337766,-0.050290357,-0.122694835,0.111344695,0.12908512,0.5146685,0.33731475,0.080785,0.17202437,0.2319621,-0.043648798,0.5863202,0.17371601,0.0639956,-0.099688,0.25459683,0.09110020101070404
0.37723744,0.0075178347,0.12524982,0.27936387,0.07469648,0.40898493,0.49077472,0.2510944,0.033747226,0.33588594,0.039094985,0.3509378,-0.09419336,-0.028285783,0.0910962,-0.17473462,0.38874509930610657
0.43796515,-0.16315693,0.01846103,0.18538746,0.09955611,0.48459527,0.33976904,0.270504,0.15752767,0.23164372,-0.061447635,0.30731782,0.10006981,-0.2947468,-0.18715973,-0.06989496,0.41643986105918884
0.32697237,0.07275159,0.06376193,0.20614313,-0.025595786,0.47360438,0.4203647,0.24474025,0.07305014,0.3965649,-0.039310805,0.30728856,-0.14917547,0.22314471,0.075498566,-0.2082223,0.24844174087047577
0.25355986,0.073431395,-0.28005695,0.26511642,0.36148223,0.40631357,0.0029890258,0.15099251,0.4034801,0.31214625,0.026158337,0.385412,-0.016655542,0.22492358,0.025724916,0.045176443,0.22940275073051453
0.46250817,0.101631396,0.1170511,0.12321828,-0.027010849,0.37429744,0.32876685,0.17692399,0.030954702,0.43164268,-0.063261,0.2548497,-0.0850691,0.43119073,0.12984803,0.020222217,0.006880644243210554
0.5581192,0.13856512,0.23744573,0.24738365,0.046238147,0.18960324,0.3007454,0.32872292,0.3965597,0.20769656,0.11453701,0.18452263,-0.13780081,-0.13963062,0.022286618,-0.16906324,0.37080830335617065
0.5454689,-0.077927545,0.18949248,0.22260089,-0.019150548,0.5150843,0.21651375,0.2883087,0.28244585,0.09433366,0.074968904,0.28275084,0.122999534,-0.022821486,-0.057569988,-0.14848137,0.4331595301628113
0.3795105,0.24519235,0.112918414,-0.031292118,-0.14126906,0.0543372,0.10553364,0.38291004,0.50672024,0.033329003,0.11706746,0.36171603,0.076788664,0.381307,0.2145985,-0.04113718,0.06416412442922592
0.38812715,0.25573486,0.14331698,0.21676423,0.03764052,0.13020709,0.47632986,0.3229721,0.2500412,0.21255937,-0.017762512,0.35479316,-0.11508689,0.15040348,0.24346854,-0.19447282,0.27608007192611694
0.41728866,-0.063384995,0.15866868,0.40031195,0.26228127,0.37010136,0.44605538,0.29456866,0.14710367,0.21166895,0.11841719,0.10886454,-0.011336928,-0.12738161,-0.06587749,-0.17864142,0.5196759700775146
0.46955448,-0.00043657853,0.03957485,0.27620184,0.17094646,0.44974527,0.4032261,0.2922802,0.24316694,0.15249535,0.122928396,0.31799158,0.14006622,0.018857792,0.019572522,-0.056391,0.40375789999961853
0.48096046,0.008086216,0.12705694,0.37886798,0.31048298,0.3011174,0.2377053,0.32007912,0.37098333,0.12532821,0.18524925,0.08465025,0.05063598,-0.12222097,0.034828383,-0.22218831,0.5925428867340088
0.49430215,-0.1494842,0.17674583,0.29982543,0.22333533,0.36305538,0.1851113,0.3001507,0.21481316,0.26387233,0.04123272,0.42173696,0.040561207,-0.023592364,0.00037434555,-0.09275521,0.48071712255477905
0.48459265,-0.099046394,0.14976095,0.35358554,0.28135487,0.39678958,0.22254768,0.32546094,0.23128171,0.20049594,0.07228333,0.15222573,0.030809576,-0.19026192,-0.03594007,-0.23521455,0.618948221206665
