TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16,RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.14724185,-0.019852336,0.041756194,0.10827628,0.042457726,0.12590782,0.09723996,0.10155198,0.083480835,0.045823075,0.019955741,0.059252895,-0.005600149,-0.12013693,-0.021443198,-0.09478059,0.1474171,-0.02463275,0.04093546,0.10706233,0.04342596,0.124363706,0.09706681,0.09998779,0.08132519,0.042828836,0.023185067,0.06599804,-0.008315295,-0.11960312,-0.025917962,-0.09559947
0.20196237,-0.07352571,0.07960902,0.20088787,0.16792715,0.16194153,0.11975168,0.1450297,0.10883488,0.03497409,0.08366029,0.0029228053,0.015727324,-0.17610513,-0.0051367837,-0.15043715,0.20451236,-0.0767961,0.080428116,0.20407285,0.1651755,0.16315329,0.11302288,0.14550498,0.10339918,0.028300487,0.08858314,0.003491588,0.018814184,-0.16698167,-0.010840673,-0.15977526
0.17461422,-0.14856236,0.08673253,0.24911237,0.24357069,0.20283142,0.12346904,0.19725853,0.11980548,-0.019909745,0.07801181,-0.027442588,0.0011116776,-0.26245373,0.018938657,-0.21494637,0.17603324,-0.14638883,0.08243807,0.24500105,0.23919013,0.20486397,0.12154229,0.19807503,0.124086924,-0.020644195,0.07578429,-0.031242654,0.00023703277,-0.26577,0.027291045,-0.21783245
0.13493305,-0.17713372,0.1226789,0.24523558,0.25827342,0.23650694,0.10967865,0.24165805,0.14865898,-0.06946024,0.07571038,-0.059547454,0.019989725,-0.28549677,0.06969756,-0.2888,0.13641444,-0.17622526,0.11701167,0.2464118,0.2612754,0.2346715,0.10411957,0.24169993,0.1452304,-0.0673393,0.07475655,-0.05074501,0.02591142,-0.28558493,0.073234916,-0.29284382
0.07856025,-0.18930642,0.1399547,0.22726898,0.31088144,0.2835151,0.082682714,0.2326147,0.15578194,-0.060461503,0.07259913,-0.07878189,0.020996932,-0.30614918,0.16043362,-0.3536511,0.07745267,-0.1819908,0.14436597,0.22759312,0.31049833,0.28603405,0.08068094,0.2381131,0.1525644,-0.059402317,0.0649032,-0.076434314,0.020100951,-0.30197868,0.15566778,-0.3585763
0.02579131,-0.21803965,0.15944633,0.21430185,0.34047902,0.30315688,0.08117278,0.23434453,0.12307371,-0.086568974,0.04994116,-0.037349574,0.05476549,-0.31875136,0.2370004,-0.45016778,0.025150985,-0.22585297,0.16191816,0.22215784,0.33426172,0.304155,0.078874946,0.2376647,0.12502815,-0.08595699,0.04274396,-0.04152304,0.054148853,-0.3121732,0.23492813,-0.44770145
0.007591803,-0.24798694,0.18764259,0.21643934,0.35634738,0.2774803,0.05407681,0.2554087,0.12457726,-0.10242582,0.01711146,0.0063023083,0.03968712,-0.32389194,0.25776824,-0.48616952,0.010587156,-0.25022316,0.18413329,0.21867418,0.35364646,0.2776153,0.048739612,0.25401723,0.120807186,-0.09801912,0.01923564,0.0040533543,0.04308474,-0.32686067,0.26219296,-0.48551083
0.003878452,-0.255581,0.19011566,0.2170238,0.35762382,0.27492273,0.036813043,0.2598085,0.13318549,-0.11515585,0.010813193,0.0098486,0.05573379,-0.31942156,0.28472695,-0.50359833,5.632639e-05,-0.25947464,0.18964219,0.21272588,0.35674334,0.275967,0.04041618,0.26413345,0.13473651,-0.1115123,0.014866978,0.012827158,0.05437541,-0.31987488,0.28131866,-0.49987316
-0.012968898,-0.25776634,0.18140893,0.2128281,0.3499415,0.2902477,0.034305066,0.2656956,0.13228345,-0.108841114,0.014647774,0.020470459,0.051642533,-0.31591693,0.27977,-0.5232381,-0.013739228,-0.25898945,0.18427086,0.21310115,0.35381573,0.28923106,0.038022578,0.25711644,0.13494772,-0.111297846,0.017465353,0.020032287,0.056982636,-0.31888247,0.29111624,-0.51380825
-0.025910119,-0.2634869,0.18865632,0.21610658,0.34438118,0.28466994,0.041189555,0.26237372,0.14008196,-0.112289794,0.03320275,0.034218412,0.06555301,-0.3200601,0.2911841,-0.51871115,-0.018903732,-0.26036572,0.181149,0.21207595,0.3499778,0.29011047,0.036876976,0.2639537,0.13868225,-0.1175797,0.020303369,0.027757049,0.06353521,-0.31775403,0.29353762,-0.5200424
-0.02550963,-0.2607386,0.18041304,0.21329844,0.36459818,0.2925725,0.032909486,0.27365342,0.13104686,-0.11998205,0.017844873,0.030720022,0.060153536,-0.31541124,0.28490025,-0.5189643,-0.02536416,-0.26580763,0.18268657,0.21218061,0.35556203,0.2911446,0.035559356,0.2651739,0.1384728,-0.116374016,0.015666291,0.03344512,0.06239474,-0.32072473,0.29572248,-0.5177431
