TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16,RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.034615282,-0.037289917,0.027298031,0.0015657042,0.04579128,0.020726997,-0.024788048,0.033790406,0.028368555,0.13351497,-0.0058616074,-0.012638861,-0.03381495,0.02122019,0.036844578,-0.020848008,0.030278366,-0.031687833,0.031979878,0.0029961877,0.04843549,0.02017352,-0.026699513,0.036654793,0.023754027,0.13485458,-0.007646098,-0.016764548,-0.032764517,0.022975294,0.03186711,-0.022476774
0.048294302,-0.05081061,0.037787173,0.05230447,0.09784529,0.117443725,0.030670065,0.094535515,0.052928336,0.15208712,0.024394358,0.122957185,0.020119673,0.037989322,0.0323391,-0.002333437,0.048054036,-0.052748755,0.03434273,0.052400887,0.09973138,0.11167027,0.03537279,0.097672746,0.0563751,0.15278587,0.018063657,0.12400305,0.017729834,0.0398282,0.039631024,-0.0065002926
