dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.12893157,-0.24777558,0.26144183,-0.027006762,0.15759698,0.19961384,-0.09177455,0.19909894,0.027106322,0.81629324,-0.105918325,-0.019709794,-0.1314526,0.06466403,0.14656036,-0.1361598,0.26676368713378906
0.21384197,-0.085163824,0.071964055,0.070014104,0.40184784,0.002776416,-0.21549273,0.20602885,0.25872943,0.65503764,0.03612534,-0.18188792,-0.24130926,0.20301396,0.21171573,-0.10904913,0.24487295746803284
0.32722768,-0.073476925,0.11113204,0.06470583,0.2793988,0.16389234,0.21799383,0.3676034,0.2011757,0.21626817,0.05036121,0.6828985,0.13376455,-0.04910172,-0.024307113,0.07989348,0.3201914131641388
0.013567987,-0.16349073,0.038273174,0.2638238,0.25841329,0.5207684,0.22756968,0.26907486,0.13559406,0.28051874,0.10645292,0.5096543,0.18369047,0.15724581,0.11412076,0.014292161,0.44101521372795105
0.3472324,0.20241758,0.40257502,0.06263029,0.09856559,0.15500103,0.31673914,0.110189065,0.07203645,0.42049408,0.13225746,0.13562189,0.012300378,0.40312707,0.34493035,-0.16350034,0.168169766664505
0.30985963,0.06310341,0.24418463,0.14489557,0.16631913,0.30123278,0.07580925,0.31192052,0.44146258,-0.0023448898,0.14217366,0.3353602,0.11470764,0.29533005,0.32076144,-0.2590352,0.5283088088035583
